LAGOS Zone Name,Original,Path to metadata XML,Zone Field,Name Field,Other Keep Fields,Output,Clip to HU8,LAGOS-NE Name,Original is Contiguous
hu12,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\Watershed_Boundary_Dataset\Unzipped Original\WBD_National_Sept2016.gdb\WBD\WBDHU12,,HUC12,NAME,STATES,D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\hu12,Y,HU12,NO-Multipart
hu8,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\Watershed_Boundary_Dataset\Unzipped Original\WBD_National_Sept2016.gdb\WBD\WBDHU8,,HUC8,NAME,STATES,D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\hu8,N,HU8,NO-Multipart
hu4,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\Watershed_Boundary_Dataset\Unzipped Original\WBD_National_Sept2016.gdb\WBD\WBDHU4,,HUC4,NAME,STATES,D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\hu4,Y,HU4,NO-Multipart
county,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\TIGER_Boundaries\Unzipped Original\tl_2016_us_county.shp,,GEOID,NAME,"STATEFP, COUNTYFP, COUNTYNS, NAME, NAMELSAD",D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\county,N,COUNTY,NO-Multipart
state,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\TIGER_Boundaries\Unzipped Original\tl_2016_us_state.shp,,GEOID,NAME,"STATEFP, STATENS, STUSPS, NAME",D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\state,N,STATE,NO-Multipart
wwf,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\WWF\Pre-processed\feow_hydrosheds.shp,,FEOW_ID,NAME,,D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\wwf,N,,?
mlra,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\MLRA\Unzipped Original\mlra_v42.shp,,MLRARSYM,MLRA_NAME,"LRRSYM, LRR_NAME",D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\mlra,N,,NO
bailey,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\Baileys_SECTIONS\Unzipped Original\eco_us.shp,,ECOCODE,SECTION,"DOMAIN, DIVISION, PROVINCE",D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\bailey,N,,?
neon,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\NEON_Domains\Unzipped Original\NEON_Domains.shp,,DomainID,DomainName,,D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\neon,N,,?
omernik3,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\EPA_Nutrient_L4\Unzipped Original\us_eco_l3.shp,,US_L3CODE,US_L3NAME,"US_L3CODE, US_L3NAME, NA_L3CODE, NA_L3NAME, NA_L2CODE, NA_L2NAME, NA_L1CODE, NA_L1NAME, L3_KEY, L2_KEY, L1_KEY",D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\epanutr3,N,,?
epanutr,D:\Continental_Limnology\Data_Downloaded\LAGOS_ZONES_ALL\EPA_Nutrient_L4\Unzipped Original\EPA_WSA9.shp,,WSA9,WSA9_NAME,,D:\Continental_Limnology\Data_Working\processing_zones_temp.gdb\epawsa9,N,,NO-Multipart
